Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,Laps,RacePercentage,GP_ci,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,LapTimePerKM
GAS,Red Bull Racing,38.0,94.151,2.0,SOFT,1.0,11.0,2019,Australian Grand Prix,58,0.6551724137931034,,,,,,,,,,,
PER,Racing Point,14.0,94.939,2.0,HARD,1.0,17.0,2019,Australian Grand Prix,58,0.2413793103448276,,,,,,,,,,,
LEC,Ferrari,29.0,93.404,2.0,HARD,1.0,5.0,2019,Australian Grand Prix,58,0.5,,,,,,,,,,,
STR,Racing Point,28.0,94.0,2.0,HARD,1.0,10.0,2019,Australian Grand Prix,58,0.4827586206896552,,,,,,,,,,,
MAG,Haas F1 Team,15.0,95.021,2.0,MEDIUM,1.0,10.0,2019,Australian Grand Prix,58,0.25862068965517243,,,,,,,,,,,
ALB,Toro Rosso,15.0,94.855,2.0,MEDIUM,1.0,15.0,2019,Australian Grand Prix,58,0.25862068965517243,,,,,,,,,,,
KVY,Toro Rosso,27.0,95.659,2.0,HARD,2.0,11.0,2019,Australian Grand Prix,58,0.46551724137931033,,,,,,,,,,,
HUL,Renault,14.0,94.476,2.0,HARD,1.0,13.0,2019,Australian Grand Prix,58,0.2413793103448276,,,,,,,,,,,
RIC,Renault,2.0,98.185,2.0,HARD,1.0,20.0,2019,Australian Grand Prix,58,0.034482758620689655,,,,,,,,,,,
VER,Red Bull Racing,26.0,93.652,2.0,MEDIUM,1.0,5.0,2019,Australian Grand Prix,58,0.4482758620689655,,,,,,,,,,,
NOR,McLaren,16.0,95.822,2.0,HARD,1.0,13.0,2019,Australian Grand Prix,58,0.27586206896551724,,,,,,,,,,,
HAM,Mercedes,16.0,95.642,2.0,MEDIUM,1.0,4.0,2019,Australian Grand Prix,58,0.27586206896551724,,,,,,,,,,,
VET,Ferrari,15.0,93.692,2.0,MEDIUM,1.0,5.0,2019,Australian Grand Prix,58,0.25862068965517243,,,,,,,,,,,
RUS,Williams,27.0,95.72,2.0,SOFT,1.0,18.0,2019,Australian Grand Prix,58,0.46551724137931033,,,,,,,,,,,
RUS,Williams,43.0,99.131,3.0,HARD,1.0,16.0,2019,Australian Grand Prix,58,0.7413793103448276,,,,,,,,,,,
RAI,Alfa Romeo Racing,13.0,95.905,2.0,MEDIUM,1.0,15.0,2019,Australian Grand Prix,58,0.22413793103448276,,,,,,,,,,,
BOT,Mercedes,24.0,93.805,2.0,MEDIUM,1.0,2.0,2019,Australian Grand Prix,58,0.41379310344827586,,,,,,,,,,,
